timestamp;kunde;kundennummer;details_json
2025-12-15 13:08:06;10 Grad Event GmbH;10529;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""10529"",""Debitorenkonto"":""10529"",""Leitweg-ID"":""10529"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""14"",""Firma *"":""10 Grad Event GmbH"",""Straße"":""Olof-Palme-Str. 9"",""PLZ"":""81829"",""Ort"":""München"",""Land"":""Deutschland"",""Bundesland"":""Bayern"",""E-Mail"":""christiane.foellbach@brainlab.com"",""Bereich"":""München""},""rechnungsoptionen"":{""verrechnungssaetze"":[{""funktion"":""Servicekraft"",""verrechnungssatz"":""28,30 EUR"",""gueltig_ab"":""06.05.2025""}]},""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":[{""datum"":""06.05.2025 15:07 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Sonderveranstaltung"",""bemerkung"":""Termin wurde angelegt.""}],""ansprechpartner"":""na""}"
2025-12-15 13:08:06;1000 Satellites GmbH;10441;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""10441"",""Debitorenkonto"":""10441"",""Leitweg-ID"":""10441"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""10"",""Firma *"":""1000 Satellites GmbH"",""Straße"":""Havellandstr. 10"",""PLZ"":""68309"",""Ort"":""Mannheim"",""Land"":""Deutschland"",""Bundesland"":""Baden-Württemberg"",""E-Mail"":""anna.cassagne@1000satellites.com"",""Bereich"":""München""},""rechnungsoptionen"":{""verrechnungssaetze"":[{""funktion"":""Promoter*in"",""verrechnungssatz"":""28,50 EUR"",""gueltig_ab"":""07.12.2023""},{""funktion"":""Servicekraft"",""verrechnungssatz"":""29,90 EUR"",""gueltig_ab"":""05.02.2024""}],""info"":""1 bis 2 von 2 Einträgen""},""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":[{""datum"":""30.10.2025 15:25 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""14.01.2025 14:14 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Bayerische Staatsoper am 15.01.25 wurde aus der Planung gestrichen mit der Begründung: bw""},{""datum"":""14.01.2025 14:00 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Bayerische Staatsoper"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""06.12.2024 08:28 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Veranstaltung am 06.12.24 wurde aus der Planung gestrichen mit der Begründung: bw""},{""datum"":""15.11.2024 13:56 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""31.05.2024 10:08 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Veranstaltung am 05.06.24 wurde aus der Planung gestrichen mit der Begründung: JE""},{""datum"":""31.05.2024 08:57 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""11.04.2024 10:29 Uhr"",""mitarbeiter"":""Maier, Manuel"",""aktion"":""Logistik"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""11.04.2024 10:29 Uhr"",""mitarbeiter"":""Maier, Manuel"",""aktion"":""Logistik"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""05.02.2024 15:08 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Empfang"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""30.01.2024 16:36 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Logistik am 05.02.24 wurde aus der Planung gestrichen mit der Begründung: bw""},{""datum"":""30.01.2024 16:21 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Logistik"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""03.01.2024 17:45 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Logistik"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""07.12.2023 18:53 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Promotion"",""bemerkung"":""Termin wurde angelegt.""}],""ansprechpartner"":""na""}"
2025-12-15 13:08:06;Abihero GmbH;10204;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""10204"",""Debitorenkonto"":""10204"",""Leitweg-ID"":""10204"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""14"",""Firma *"":""Abihero GmbH"",""Straße"":""Rupert-Mayerstr. 44"",""PLZ"":""81379"",""Ort"":""München"",""Land"":""Deutschland"",""Bundesland"":""Bayern"",""Bereich"":""München""},""rechnungsoptionen"":{""verrechnungssaetze"":[{""funktion"":""Servicekraft"",""verrechnungssatz"":""28,00 EUR"",""gueltig_ab"":""01.06.2022""}],""info"":""1 bis 1 von 1 Einträgen""},""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":""na"",""ansprechpartner"":""na""}"
2025-12-15 13:08:06;ABIONIK Group GmbH;108;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""108"",""Debitorenkonto"":""108"",""Leitweg-ID"":""108"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""0"",""Firma *"":""ABIONIK Group GmbH"",""Straße"":""Friedrichstr. 95"",""PLZ"":""10117"",""Ort"":""Berlin"",""Land"":""Deutschland"",""Bundesland"":""Bayern"",""Bereich"":""München""},""rechnungsoptionen"":{""verrechnungssaetze"":[{""funktion"":""Hostess/Host"",""verrechnungssatz"":""33,50 EUR"",""gueltig_ab"":""31.01.2024""},{""funktion"":""Servicekraft"",""verrechnungssatz"":""29,90 EUR"",""gueltig_ab"":""31.01.2024""}],""info"":""1 bis 2 von 2 Einträgen""},""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":""na"",""ansprechpartner"":""na""}"
2025-12-15 13:08:06;Able Catering GbR;10003;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""10003"",""Debitorenkonto"":""10003"",""Leitweg-ID"":""10003"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""14"",""Firma *"":""Able Catering GbR"",""Straße"":""Willy-Brandt-Allee 5"",""Adresszusatz"":""Josef Able & Söhne"",""PLZ"":""81829"",""Ort"":""München"",""Land"":""Deutschland"",""Bundesland"":""Bayern"",""Bereich"":""München""},""rechnungsoptionen"":{""verrechnungssaetze"":[{""funktion"":""Servicekraft"",""verrechnungssatz"":""24,50 EUR"",""gueltig_ab"":""01.09.2021""}]},""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":[{""datum"":""04.12.2025 10:09 Uhr"",""mitarbeiter"":""Zech, Robert"",""aktion"":""Rückgewinnung"",""bemerkung"":""Müssen mit dem Christian Abele sprechen bzgl. Messe""}],""ansprechpartner"":[{""anrede"":""Frau"",""vorname"":""Janine"",""name"":""Flum"",""email"":""janine.flum@able-muenchen.de"",""telefon"":""+498994928460""}]}"
2025-12-15 13:08:06;ad.letics GmbH;10482;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""10482"",""Debitorenkonto"":""10482"",""Leitweg-ID"":""10482"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""0"",""Firma *"":""ad.letics GmbH"",""Straße"":""Goltstein 28-30"",""PLZ"":""50968"",""Ort"":""Köln"",""Land"":""Deutschland"",""Bundesland"":""Nordrhein-Westfalen"",""E-Mail"":""kai.lucius@adletics.de"",""Bereich"":""München""},""rechnungsoptionen"":""na"",""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":[{""datum"":""23.01.2025 13:05 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Sonderveranstaltung am 31.01.25 wurde aus der Planung gestrichen mit der Begründung: bw""},{""datum"":""28.10.2024 18:12 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Sonderveranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""02.07.2024 16:44 Uhr"",""mitarbeiter"":""Maier, Manuel"",""aktion"":""Sonderveranstaltung"",""bemerkung"":""Termin wurde angelegt.""}],""ansprechpartner"":""na""}"
2025-12-15 13:08:06;adEvents cross media AG;10171;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""10171"",""Debitorenkonto"":""10171"",""Leitweg-ID"":""10171"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""14"",""Firma *"":""adEvents cross media AG"",""Straße"":""Weißenburgstr. 27"",""PLZ"":""93055"",""Ort"":""Regensburg"",""Land"":""Deutschland"",""Bundesland"":""Bayern"",""Bereich"":""München""},""rechnungsoptionen"":{""verrechnungssaetze"":[{""funktion"":""Hostess/Host"",""verrechnungssatz"":""26,00 EUR"",""gueltig_ab"":""07.04.2022""}]},""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":""na"",""ansprechpartner"":[{""anrede"":""Frau"",""vorname"":""Sonja"",""name"":""Ratzke"",""email"":""sonja@adevents.de""}]}"
2025-12-15 13:08:06;ADMENA e. K.;10199;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""10199"",""Debitorenkonto"":""10199"",""Leitweg-ID"":""10199"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""14"",""Firma *"":""ADMENA e. K."",""Straße"":""Münchner Str. 5"",""Adresszusatz"":""Catering & Event"",""PLZ"":""85232"",""Ort"":""Bergkirchen"",""Land"":""Deutschland"",""Bundesland"":""Bayern"",""Bereich"":""München""},""rechnungsoptionen"":{""verrechnungssaetze"":[{""funktion"":""Servicekraft"",""verrechnungssatz"":""29,50 EUR"",""gueltig_ab"":""01.05.2024""}],""info"":""1 bis 1 von 1 Einträgen""},""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":[{""datum"":""13.10.2025 13:26 Uhr"",""mitarbeiter"":""Strehle, Sarah"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""30.09.2025 10:21 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""31.07.2025 10:15 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Messe Standcatering"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""31.07.2025 10:14 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Messe Standcatering"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""31.07.2025 10:14 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Messe Standcatering"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""31.07.2025 09:28 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""31.07.2025 09:23 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""04.12.2024 17:07 Uhr"",""mitarbeiter"":""Schilcher, Nicolas"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""21.10.2024 14:35 Uhr"",""mitarbeiter"":""Schilcher, Nicolas"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Veranstaltung am 23.10.24 wurde aus der Planung gestrichen mit der Begründung: NS""},{""datum"":""16.10.2024 15:44 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""15.10.2024 09:31 Uhr"",""mitarbeiter"":""Edhofer, Julian"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""11.10.2024 16:58 Uhr"",""mitarbeiter"":""Schilcher, Nicolas"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""20.08.2024 15:56 Uhr"",""mitarbeiter"":""Schilcher, Nicolas"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""28.06.2024 13:39 Uhr"",""mitarbeiter"":""Maier, Manuel"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""28.06.2024 13:39 Uhr"",""mitarbeiter"":""Maier, Manuel"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""28.06.2024 13:38 Uhr"",""mitarbeiter"":""Maier, Manuel"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""15.05.2024 14:19 Uhr"",""mitarbeiter"":""Maier, Manuel"",""aktion"":""Veranstaltung"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""15.05.2024 09:13 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""SALES"",""bemerkung"":""Telefonat mit Fr. Rinkl. Ist grundsätzlich sehr zufrieden mit ihren Dienstleistern. Hat noch im Kopf, dass wir 2022 auf eine Anfrage kein personal stellen konnten. hat uns aber im Hinterkopf - auch weil wir immer so nette Geschenke schicken.""}],""ansprechpartner"":""na""}"
2025-12-15 13:08:06;AEC EUROPE GmbH;10381;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""10381"",""Debitorenkonto"":""10381"",""Leitweg-ID"":""10381"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""0"",""Firma *"":""AEC EUROPE GmbH"",""Straße"":""Landsberger Str. 98"",""PLZ"":""80339"",""Ort"":""München"",""Land"":""Deutschland"",""Bundesland"":""Bayern"",""Bereich"":""München""},""rechnungsoptionen"":{""verrechnungssaetze"":[{""funktion"":""Fahrer"",""verrechnungssatz"":""30,50 EUR"",""gueltig_ab"":""16.05.2023""}]},""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":[{""datum"":""22.06.2023 14:44 Uhr"",""mitarbeiter"":""Maier, Manuel"",""aktion"":""Promotion"",""bemerkung"":""Termin wurde angelegt.""},{""datum"":""16.05.2023 14:14 Uhr"",""mitarbeiter"":""Wieland, Bernhard"",""aktion"":""Sonderveranstaltung"",""bemerkung"":""Termin wurde angelegt.""}],""ansprechpartner"":""na""}"
2025-12-15 13:08:06;AEZ Amper Einkaufs Zentrum GmbH;10104;"{""stammdaten"":{""Potential"":""Bestandskunde"",""Kundennummer"":""10104"",""Debitorenkonto"":""10104"",""Leitweg-ID"":""10104"",""Klassifizierung"":""Extern"",""Aktiv"":""Ja"",""Zahlungsziel in Tagen"":""14"",""Firma *"":""AEZ Amper Einkaufs Zentrum GmbH"",""Straße"":""Kurt-Huber-Ring 12"",""PLZ"":""82256"",""Ort"":""Fürstenfeldbruck"",""Land"":""Deutschland"",""Bundesland"":""Bayern"",""E-Mail"":""a.weigand@aez.de"",""Bereich"":""München""},""rechnungsoptionen"":{""verrechnungssaetze"":[{""funktion"":""Kassenkraft"",""verrechnungssatz"":""26,50 EUR"",""gueltig_ab"":""01.09.2022""},{""funktion"":""Kassenkraft"",""verrechnungssatz"":""27,90 EUR"",""gueltig_ab"":""01.02.2023""},{""funktion"":""Logistik | Ware einräumen"",""verrechnungssatz"":""26,50 EUR"",""gueltig_ab"":""01.09.2022""},{""funktion"":""Logistik | Ware einräumen"",""verrechnungssatz"":""27,90 EUR"",""gueltig_ab"":""01.02.2023""},{""funktion"":""Security"",""verrechnungssatz"":""26,50 EUR"",""gueltig_ab"":""01.09.2022""},{""funktion"":""Security"",""verrechnungssatz"":""27,90 EUR"",""gueltig_ab"":""01.02.2023""}],""info"":""1 bis 6 von 6 Einträgen""},""gesperrte_mitarbeiter"":[{""personalnummer"":""14496"",""mitarbeiter"":""Patrick Tamimi"",""bemerkung"":""Infektionsschutzbelehrung fehlt!"",""datum"":""08.07.25"",""eintrag_von"":""Frauendorfer, Günter""}],""kundenhistorie"":[{""datum"":""13.10.2023 10:04 Uhr"",""mitarbeiter"":""Altstiel, Carina"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Logistik am 18.10.23 wurde aus der Planung gestrichen mit der Begründung: ca""},{""datum"":""13.10.2023 10:04 Uhr"",""mitarbeiter"":""Altstiel, Carina"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Logistik am 17.10.23 wurde aus der Planung gestrichen mit der Begründung: ca""},{""datum"":""13.10.2023 10:04 Uhr"",""mitarbeiter"":""Altstiel, Carina"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Logistik am 16.10.23 wurde aus der Planung gestrichen mit der Begründung: ca""},{""datum"":""31.08.2023 08:13 Uhr"",""mitarbeiter"":""Altstiel, Carina"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Logistik am 02.09.23 wurde aus der Planung gestrichen mit der Begründung: ca""},{""datum"":""25.01.2023 10:22 Uhr"",""mitarbeiter"":""Altstiel, Carina"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Logistik am 25.01.23 wurde aus der Planung gestrichen mit der Begründung: ca""},{""datum"":""16.01.2023 12:39 Uhr"",""mitarbeiter"":""Altstiel, Carina"",""aktion"":""Löschung einer Veranstaltung"",""bemerkung"":""Die Veranstaltung Logistik am 24.01.23 wurde aus der Planung gestrichen mit der Begründung: ca""}],""ansprechpartner"":[{""anrede"":""Herr"",""vorname"":""Andreas"",""name"":""Weigand"",""email"":""a.weigand@aez.de"",""telefon"":""+49814131200"",""mobil"":""+491728249888""}]}"
